formulation,time_min,vessel,release_percent
Formulation A,0,1,0.0
Formulation A,0,2,0.0
Formulation A,0,3,0.0
Formulation A,0,4,0.0
Formulation A,0,5,0.0
Formulation A,0,6,0.0
Formulation A,10,1,30.0
Formulation A,10,2,31.0
Formulation A,10,3,32.0
Formulation A,10,4,32.0
Formulation A,10,5,33.0
Formulation A,10,6,34.0
Formulation A,20,1,56.0
Formulation A,20,2,57.0
Formulation A,20,3,58.0
Formulation A,20,4,58.0
Formulation A,20,5,59.0
Formulation A,20,6,60.0
Formulation A,30,1,74.0
Formulation A,30,2,75.0
Formulation A,30,3,76.0
Formulation A,30,4,76.0
Formulation A,30,5,77.0
Formulation A,30,6,78.0
Formulation A,45,1,88.0
Formulation A,45,2,89.0
Formulation A,45,3,90.0
Formulation A,45,4,90.0
Formulation A,45,5,91.0
Formulation A,45,6,92.0
Formulation A,60,1,94.0
Formulation A,60,2,95.0
Formulation A,60,3,96.0
Formulation A,60,4,96.0
Formulation A,60,5,97.0
Formulation A,60,6,98.0
Formulation B,0,1,0.0
Formulation B,0,2,0.0
Formulation B,0,3,0.0
Formulation B,0,4,0.0
Formulation B,0,5,0.0
Formulation B,0,6,0.0
Formulation B,10,1,25.0
Formulation B,10,2,26.0
Formulation B,10,3,27.0
Formulation B,10,4,27.0
Formulation B,10,5,28.0
Formulation B,10,6,29.0
Formulation B,20,1,48.0
Formulation B,20,2,49.0
Formulation B,20,3,50.0
Formulation B,20,4,50.0
Formulation B,20,5,51.0
Formulation B,20,6,52.0
Formulation B,30,1,67.0
Formulation B,30,2,68.0
Formulation B,30,3,69.0
Formulation B,30,4,69.0
Formulation B,30,5,70.0
Formulation B,30,6,71.0
Formulation B,45,1,81.3
Formulation B,45,2,82.3
Formulation B,45,3,83.3
Formulation B,45,4,83.3
Formulation B,45,5,84.3
Formulation B,45,6,85.3
Formulation B,60,1,89.0
Formulation B,60,2,90.0
Formulation B,60,3,91.0
Formulation B,60,4,91.0
Formulation B,60,5,92.0
Formulation B,60,6,93.0
Formulation C,0,1,0.0
Formulation C,0,2,0.0
Formulation C,0,3,0.0
Formulation C,0,4,0.0
Formulation C,0,5,0.0
Formulation C,0,6,0.0
Formulation C,10,1,20.0
Formulation C,10,2,21.0
Formulation C,10,3,22.0
Formulation C,10,4,22.0
Formulation C,10,5,23.0
Formulation C,10,6,24.0
Formulation C,20,1,40.0
Formulation C,20,2,41.0
Formulation C,20,3,42.0
Formulation C,20,4,42.0
Formulation C,20,5,43.0
Formulation C,20,6,44.0
Formulation C,30,1,57.0
Formulation C,30,2,58.0
Formulation C,30,3,59.0
Formulation C,30,4,59.0
Formulation C,30,5,60.0
Formulation C,30,6,61.0
Formulation C,45,1,70.6
Formulation C,45,2,71.6
Formulation C,45,3,72.6
Formulation C,45,4,72.6
Formulation C,45,5,73.6
Formulation C,45,6,74.6
Formulation C,60,1,82.0
Formulation C,60,2,83.0
Formulation C,60,3,84.0
Formulation C,60,4,84.0
Formulation C,60,5,85.0
Formulation C,60,6,86.0
