tablet_id,batch,weight_mg,hardness_n,disintegration_min,assay_percent
T01,A,489.6539,55.0,4.9915,97.8
T02,A,490.3923,56.034,5.5206,98.1
T03,A,491.1306,57.069,6.0031,98.4
T04,A,491.869,58.103,6.3975,98.7
T05,A,492.6073,59.138,6.6711,98.8
T06,A,493.3457,60.172,6.8044,99.0
T07,A,494.084,61.207,6.792,99.2
T08,A,494.8224,62.241,6.6443,99.4
T09,A,495.5607,63.276,6.3854,99.6
T10,A,496.2991,64.31,6.0514,100.0
T11,B,497.0374,65.345,5.686,99.2
T12,B,497.7758,66.379,5.3364,99.5
T13,B,498.5141,67.414,5.0481,99.8
T14,B,499.2525,68.448,4.8599,100.1
T15,B,499.9908,69.483,4.8006,100.6
T16,B,500.7292,70.517,4.8851,100.62
T17,B,501.4675,71.552,5.1135,100.9
T18,B,502.2059,72.586,5.4706,101.1
T19,B,502.9442,73.621,5.928,101.3
T20,B,503.6826,74.655,6.4467,101.5
T21,C,504.4209,75.69,6.981,97.4
T22,C,505.1593,76.724,7.4841,97.8
T23,C,505.8976,77.759,7.912,98.0
T24,C,506.636,78.793,8.2288,98.3
T25,C,507.3743,79.828,8.4101,98.52
T26,C,508.1127,80.862,8.4459,98.54
T27,C,508.851,81.897,8.3413,98.8
T28,C,509.5894,82.931,8.1159,99.0
T29,C,510.3277,83.966,7.8024,99.2
T30,C,511.0661,85.0,7.4423,99.5
